X,Y,OBJECTID,ID_MA98,AG_MG_KG,AS_MG_KG,BA_MG_KG,BE_MG_KG,CD_MG_KG,CR_MG_KG,CU_MG_KG,HG_MG_KG,MN_MG_KG,MO_MG_KG,NI_MG_KG,PB_MG_KG,SB_MG_KG,SE_MG_KG,ZN_MG_KG,ID_UFSCL,FDOTID_UF,LAB_NUM_UF,DATE_UF,COUNTY_UF,SOIL_ORDER,SO_SER_UF,SOIL_TY_UF,HORIZON_UF,PARENT_UF,LATITUDE,LONGITUDE,ALBERS_X,ALBERS_Y
187129.742600001,750710.3054,48,4050,0.49,0.22,11.3,NA,0.004,6,1.6,5.8,58.900,1.44,24.6,7.46,NA,0.25,7.9,S66_002,4050,4050,1979/03/05 00:00:00+00,Walton,ENTS,LAKELAND SAND,"Typic Quartzipsamments, thermic, coated.",A,Sandy coastal plain sediments.,30.747053,-86.224946,187129.64,750710.74
508096.746199999,637896.9325,49,7138,0.44,73.9,8.4,0.300,2.8,6.5,2.1,73.9,13.400,0.4,14,256.1,0.250,0.66,10.1,S21_001,7138,7138,1986/07/14 00:00:00+00,Gilchrist,ENTS,Alpin fine sand,"Lamellic Quartzipsamments, thermic, coated .",Ap,Sandy and loamy marine deposits over limestone.,29.743507,-82.880773,508096.58,637897.22
756691.409499999,401497.7246,50,5487,0.37,18.68,4.3,1.300,0.004,6.6,1.1,7.1,84.700,0.54,8.5,3.49,0.150,0.08,4,S31_015,5487,5487,1982/11/03 00:00:00+00,Indian River,ENTS,ASTATULA SAND,"Typic Quartzipsamments, hyperthermic, uncoated.",A,Sandy marine sediments,27.571966,-80.379661,756690.97,401497.82
617811.945999999,633407.9704,51,5247,0.5,0.94,62.8,1.130,0.004,3.6,1,2.1,28.700,0.65,6.9,6.7,0.150,0.03,2.6,S54_005,5247,5247,1982/03/31 00:00:00+00,Putnam,ODS,Eaugallie Fine Sand,"Alfic Alaquods, sandy, siliceous, hyperthermic.",A,Sandy and loamy marine sediments.,29.68956,-81.745827,617811.76,633408.25
753564.157499999,391645.2212,52,1796,0.41,0.61,14.4,NA,0.34,10.2,20.5,7.4,26.800,1.02,16.1,11.11,NA,0.13,17.3,S56_005,1796,1796,1975/03/11 00:00:00+00,St. Lucie,ENTS,HALLANDALE AQUALFS VARIANT SAND,"Lithic Endoaqualfs, sandy, siliceous, hyperthermic.",Ap,Marine sands and loamy sediments over limestone.,27.484103,-80.414291,753563.75,391645.42
263249.5645,711325.4052,53,4874,0.43,0.35,13.4,0.570,0.004,8.2,2,5.3,69.700,1.05,7.5,4.12,0.150,0.08,4.2,S03_017,4874,4874,1981/04/21 00:00:00+00,Bay,ULTS,BLANTON FINE SAND,"Grossarenic Paleudults, loamy, siliceous, semiactive, thermic.",A,Sandy and loamy marine sediments.,30.402314,-85.424669,263249.32,711325.51
597310.655499998,456240.4375,54,5862,0.39,0.42,14.9,0.460,0.07,13.5,64.5,4.5,32.700,0.65,13.7,5.81,0.150,0.08,10.7,S53_019,5862,5862,1983/12/05 00:00:00+00,Polk,ENTS,TAVARES COATED VARIANT FINE SAND,"Typic Quartzipsamments, hyperthermic, uncoated",Ap,"Sandy marine sediments;",28.097565,-81.987878,597310.04,456240.65
724955.357700001,422215.4483,55,5469,1.28,10.12,117.8,0.160,0.26,21.6,71.4,12.7,38.200,6.7,10,10.14,0.800,2.2,16.2,S31_012,5469,5469,1982/11/02 00:00:00+00,Indian River,ISTS,GATOR MUCK,"Terric Haplosaprists, loamy, siliceous, euic, hyperthermic",Oap,Moderately thick beds of organic materials overlying sandy and loamy marine sediments,27.766477,-80.695981,724954.92,422215.66
628868.5953,747154.5527,56,6177,0.5,0.12,23.6,4.100,0.01,31.9,1.7,2.2,458.000,1.3,13.9,13.64,0.150,0.08,18,S45_005,6177,6177,1984/10/02 00:00:00+00,Nassau,ENTS,FOXWORTH FINE SAND,"Typic Quartzipsamments, thermic, coated",A,"Sandy marine sediments;",30.712311,-81.608601,628868.41,747154.78
533832.884100001,598802.3858,57,6798,0.46,3.3,33.3,0.410,0.05,11.4,3.3,3.3,29.800,1.46,7.6,5.09,0.740,0.01,7.4,S38_009,6798,6798,1996/01/29 00:00:00+00,Levy,ENTS,TAVARES COATED VARIANT FINE SAND,"TYPIC QUARTZIPSAMMENTS, HYPERTHERMIC, COATED",Ap,Sandy marine deposits.,29.389063,-82.618857,533832.64,598802.55
