DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80235136,Trimethoxy((perfluorohexyl)ethyl)silane,85857-16-5,BVQYIDJXNYHKRK-UHFFFAOYSA-N,"Trimethoxy(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)silane",CO[Si](CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC,"InChI=1S/C11H13F13O3Si/c1-25-28(26-2,27-3)5-4-6(12,13)7(14,15)8(16,17)9(18,19)10(20,21)11(22,23)24/h4-5H2,1-3H3",C11H13F13O3Si,468.286,468.042637,49,,70,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00880026,Potassium perfluorooctanoate,2395-00-8,WPDDXKNWUVLZMQ-UHFFFAOYSA-M,Potassium pentadecafluorooctanoate,[K+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2.K/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23;/h(H,24,25);/q;+1/p-1",C8F15KO2,452.16,451.929583,51,,36,,1,2/37,5.0,37
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8037706,Potassium perfluorooctanesulfonate,2795-39-3,WFRUBUQWJYMMRQ-UHFFFAOYSA-M,Potassium heptadecafluorooctane-1-sulfonate,[K+].[O-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF17O3S.K/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28;/h(H,26,27,28);/q;+1/p-1",C8F17KO3S,538.22,537.893375,155,,77,1,1,224/1132,20.0,1132
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80187141,Perfluorohexylbromide,335-56-8,JTYRBFORUCBNHJ-UHFFFAOYSA-N,"1-Bromo-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane",FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,"InChI=1S/C6BrF13/c7-5(16,17)3(12,13)1(8,9)2(10,11)4(14,15)6(18,19)20",C6BrF13,398.949,397.897579,59,5,68,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30382169,"2,3,3,3-Tetrafluoro-2-(perfluoropentoxy)propan-1-ol",78693-85-3,XKYXNXAJMRFZSX-UHFFFAOYSA-N,"2,3,3,3-Tetrafluoro-2-[(undecafluoropentyl)oxy]propan-1-ol",OCC(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,"InChI=1S/C8H3F15O2/c9-2(1-24,6(16,17)18)25-8(22,23)5(14,15)3(10,11)4(12,13)7(19,20)21/h24H,1H2",C8H3F15O2,416.086,415.989352,27,,20,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8051419,"N-[(Perfluorooctylsulfonamido)propyl]-N,N,N-trimethylammonium iodide",1652-63-7,MLIMEVJPZQAQQE-UHFFFAOYSA-M,"3-[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Heptadecafluorooctane-1-sulfonyl)amino]-N,N,N-trimethylpropan-1-aminium iodide",[I-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C14H16F17N2O2S.HI/c1-33(2,3)6-4-5-32-36(34,35)14(30,31)12(25,26)10(21,22)8(17,18)7(15,16)9(19,20)11(23,24)13(27,28)29;/h32H,4-6H2,1-3H3;1H/q+1;/p-1",C14H16F17IN2O2S,726.23,725.970570,75,,26,4,1,113/497,23.0,497
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0061826,Perfluoropropyl trifluorovinyl ether,1623-05-8,KHXKESCWFMPTFT-UHFFFAOYSA-N,"1,1,1,2,2,3,3-Heptafluoro-3-[(trifluoroethenyl)oxy]propane",FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5F10O/c6-1(7)2(8)16-5(14,15)3(9,10)4(11,12)13",C5F10O,266.038,265.978946,95,,65,,1,4/198,2.0,198
https://comptox.epa.gov/dashboard/chemical/details/DTXSID50379773,Pentafluoroallyl fluorosulfate,67641-28-5,LIZZWVXXYAALGG-UHFFFAOYSA-N,"1,1,2,3,3-Pentafluoroprop-2-en-1-yl sulfurofluoridate",FC(F)=C(F)C(F)(F)OS(F)(=O)=O,"InChI=1S/C3F6O3S/c4-1(2(5)6)3(7,8)12-13(9,10)11",C3F6O3S,230.08,229.947234,14,,33,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60381968,2(2H-Perfluoro-2-propyl)acetic acid,17327-33-2,BXOJQJKUSQRUKV-UHFFFAOYSA-N,"4,4,4-Trifluoro-3-(trifluoromethyl)butanoic acid",OC(=O)CC(C(F)(F)F)C(F)(F)F,"InChI=1S/C5H4F6O2/c6-4(7,8)2(1-3(12)13)5(9,10)11/h2H,1H2,(H,12,13)",C5H4F6O2,210.075,210.011548,20,,55,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90371872,"1,8-Divinylperfluorooctane",35192-44-0,JJLUWYULIBMDGF-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-Hexadecafluorododeca-1,11-diene",FC(F)(C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=C,"InChI=1S/C12H6F16/c1-3-5(13,14)7(17,18)9(21,22)11(25,26)12(27,28)10(23,24)8(19,20)6(15,16)4-2/h3-4H,1-2H2",C12H6F16,454.154,454.021401,33,,32,,2,4/460,1.0,460
